"tiempo_residencia","max_personas","lugar_habitado","tipo_desague","material_piso","material_techo","material_paredes","problemas_plagas","plagas_cucarachas","plagas_roedores","plagas_otros","num_dormitorios","max_personas"
5,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Lona","Planchón (describir qué es)","Sí","Cucarachas",NA,NA,4,6
16,2,"Prestado","A pozo negro/ciego","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,5
14,2,"Prestado","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Adobe","Sí","Cucarachas",NA,"Ratas",3,3
3,3,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,2,3
6,4,"Prestado","A pozo negro/ciego","Carpeta de cemento","Chapa","Adobe","Sí","Cucarachas",NA,NA,1,4
40,3,"Propio sin títulos","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos",NA,2,4
30,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Carpeta de cemento","Losa de viguetas","Mampostería (ladrillo/block","No",NA,NA,NA,3,3
4,7,"Ocupado/Tomado","A pozo negro/ciego","Sin piso/tierra","Lona","Trama en madera/tapial de madera","Sí","Cucarachas",NA,"Ratas",1,7
3,1,"Ocupado/Tomado","A pozo negro/ciego","Carpeta de cemento","Chapa","Adobe","Sí",NA,NA,"Ratas",1,3
8,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Planchón (describir qué es)","Sí","Cucarachas","Mosquitos","Ratas",4,6
13,4,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Planchón (describir qué es)","Sí","Cucarachas",NA,NA,2,6
8,2,"Prestado","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Planchón (describir qué es)","Sí","Cucarachas",NA,NA,2,5
7,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Cerámico","Losa de viguetas","Planchón (describir qué es)","Sí","Cucarachas",NA,NA,2,3
4,2,"Propio sin títulos","No sabe","Carpeta de cemento","Losa de viguetas","Planchón (describir qué es)","No",NA,NA,NA,1,2
7,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Losa de viguetas","Planchón (describir qué es)","Sí","Cucarachas","Mosquitos",NA,2,4
1,3,"Alquilado","Desagüe a red cloacal pública","Cerámico","Losa de viguetas","Mampostería (ladrillo/block","Sí","Cucarachas",NA,"Ratas",3,6
14,1,"Propio sin títulos","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,1
20,3,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","No",NA,NA,NA,2,4
21,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal informal/vecinal","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,1
24,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",3,4
21,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,2,5
1,5,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí","Cucarachas","Mosquitos","Ratas",1,5
19,1,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,1,2
20,4,"Propio con algún comprobante de tenencia","A pozo negro/ciego","Carpeta de cemento","Chapa","Mampostería (ladrillo/block","Sí",NA,NA,"Ratas",2,6
20,2,"Propio con algún comprobante de tenencia","A cámara séptica","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos",NA,3,6
18,2,"Propio con algún comprobante de tenencia","Desagüe a red cloacal pública","Cerámico","Chapa","Mampostería (ladrillo/block","Sí",NA,"Mosquitos","Ratas",3,6
